指数帯,レース数,的中数,平均指数,複勝率
10以下,1061,175,2.6185485391140437,16.49387370405278
10〜15,362,94,12.456988950276244,25.96685082872928
15〜20,263,95,17.306235741444866,36.12167300380228
20〜25,164,56,22.177743902439026,34.146341463414636
25〜30,40,16,27.4985,40.0
30〜35,9,2,31.966666666666665,22.22222222222222
35〜40,2,2,40.0,100.0
40〜50,1,0,42.0,0.0
50超,0,0,,0.0
