race_id,日付,レース,開催地,馬名,着順,馬番,人気,horse_id,source
202630071608,2026-07-16,8,門別,キタサンモンドー,4,5,,2022103672,nar
202630071608,2026-07-16,8,門別,マリノシュライエン,5,6,,2020101416,nar
202630071608,2026-07-16,8,門別,オールスパイス,6,7,,2022101519,nar
202630071608,2026-07-16,8,門別,ユーライナー,7,3,,2021107000,nar
202630071609,2026-07-16,9,門別,ピエールテネシー,1,5,,2021106228,nar
202630071609,2026-07-16,9,門別,アンエクスプロード,2,7,,2022104571,nar
202630071609,2026-07-16,9,門別,アサガオ,3,4,,2022104290,nar
202630071609,2026-07-16,9,門別,コウユーダイダイ,4,1,,2023100759,nar
202630071609,2026-07-16,9,門別,エリオットゲーム,5,6,,2021102248,nar
202630071609,2026-07-16,9,門別,エスカルチャ,6,3,,2021101673,nar
202630071609,2026-07-16,9,門別,ゼファーバローズ,7,2,,2020103777,nar
202630071610,2026-07-16,10,門別,カネトシエテルノ,1,9,,2022100167,nar
202630071610,2026-07-16,10,門別,ビービーエリス,2,10,,2023100550,nar
202630071610,2026-07-16,10,門別,マリノロマンス,3,8,,2021101257,nar
202630071610,2026-07-16,10,門別,ユニコーンホエール,4,12,,2022102517,nar
202630071610,2026-07-16,10,門別,カムイノウタゲ,5,4,,2022106492,nar
202630071610,2026-07-16,10,門別,ヤマニンエラマ,6,11,,2023104367,nar
202630071610,2026-07-16,10,門別,マジックライン,7,2,,2021106966,nar
202630071610,2026-07-16,10,門別,ドクターストップ,8,3,,2022105608,nar
202630071610,2026-07-16,10,門別,レーザーベルン,9,5,,2023101746,nar
202630071610,2026-07-16,10,門別,グレイトエイト,10,7,,2023104208,nar
202630071610,2026-07-16,10,門別,ブッシュドノエル,11,1,,2018105013,nar
202630071610,2026-07-16,10,門別,レッドコート,12,6,,2021102678,nar
202630071611,2026-07-16,11,門別,ラッキーホープ,1,6,,2019104113,nar
202630071611,2026-07-16,11,門別,ワンダーウーマン,2,2,,2022103981,nar
202630071611,2026-07-16,11,門別,ピンクヴェノム,3,4,,2021101189,nar
202630071611,2026-07-16,11,門別,ドウドウキリシマ,4,3,,2016105952,nar
202630071611,2026-07-16,11,門別,モノノフブラック,5,5,,2021106136,nar
202630071611,2026-07-16,11,門別,オメガレインボー,6,7,,2016105537,nar
202630071611,2026-07-16,11,門別,キタノインディ,7,1,,2018100531,nar
202642071601,2026-07-16,1,浦和,テットドール,1,3,,2022104966,nar
202642071601,2026-07-16,1,浦和,ノワスティエ,2,9,,2022105361,nar
202642071601,2026-07-16,1,浦和,ルラクソント,3,2,,2022106795,nar
202642071601,2026-07-16,1,浦和,カリプソ,4,7,,2021100504,nar
202642071601,2026-07-16,1,浦和,アルファウィンザー,5,6,,2021100432,nar
202642071601,2026-07-16,1,浦和,ハヌマーンビーチ,6,8,,2020104981,nar
202642071601,2026-07-16,1,浦和,タイムレスブルーム,7,4,,2021103475,nar
202642071601,2026-07-16,1,浦和,ピノヌイ,8,5,,2021102321,nar
202642071601,2026-07-16,1,浦和,プリンセスパリー,9,1,,2021103769,nar
202642071602,2026-07-16,2,浦和,エムティライカ,1,9,,2023105471,nar
202642071602,2026-07-16,2,浦和,ヤギリパール,2,11,,2023102556,nar
202642071602,2026-07-16,2,浦和,キングハービン,3,3,,2023104220,nar
202642071602,2026-07-16,2,浦和,ジーティーグレース,4,1,,2023101631,nar
202642071602,2026-07-16,2,浦和,ルミナスストーン,5,10,,2023101980,nar
202642071602,2026-07-16,2,浦和,トゥンカロン,6,6,,2023102746,nar
202642071602,2026-07-16,2,浦和,エムワンワークス,7,5,,2023104123,nar
202642071602,2026-07-16,2,浦和,シシリアンマインド,8,4,,2023107026,nar
202642071602,2026-07-16,2,浦和,ヒーローズ,9,2,,2023101976,nar
202642071602,2026-07-16,2,浦和,キサラフラッシュ,10,8,,2023105707,nar
202642071602,2026-07-16,2,浦和,キンパツビジン,11,7,,2023102201,nar
202642071603,2026-07-16,3,浦和,ユウユウキュラソー,1,1,,2024101357,nar
202642071603,2026-07-16,3,浦和,ダイバマアヤ,2,6,,2024103337,nar
202642071603,2026-07-16,3,浦和,ユウユウヒレシュ,3,5,,2024107110,nar
202642071603,2026-07-16,3,浦和,ユウユウコクトバ,4,2,,2024103322,nar
202642071603,2026-07-16,3,浦和,オサケノオトモニ,5,3,,2024100051,nar
202642071603,2026-07-16,3,浦和,ビナドリーム,6,7,,2024100278,nar
202642071603,2026-07-16,3,浦和,ユウユウウタゲ,7,4,,2024101783,nar
202642071604,2026-07-16,4,浦和,コビナイフォンテン,1,11,,2019105664,nar
202642071604,2026-07-16,4,浦和,ファンタフェスタ,2,4,,2021103310,nar
202642071604,2026-07-16,4,浦和,レバット,3,3,,2022104341,nar
202642071604,2026-07-16,4,浦和,ロベルタインパクト,4,10,,2022100209,nar
202642071604,2026-07-16,4,浦和,イチゴホイップ,5,8,,2020107092,nar
202642071604,2026-07-16,4,浦和,スペルガッサン,6,9,,2018106759,nar
202642071604,2026-07-16,4,浦和,セイダンシング,7,6,,2019103118,nar
202642071604,2026-07-16,4,浦和,エーアイキリシマ,8,5,,2021104083,nar
202642071604,2026-07-16,4,浦和,ピノモラーン,9,1,,2018101766,nar
202642071604,2026-07-16,4,浦和,ルナティックアイ,10,2,,2022100260,nar
202642071604,2026-07-16,4,浦和,セイウンコチョウ,11,7,,2019103947,nar
202642071604,2026-07-16,4,浦和,ナイトダンサー,12,12,,2022101848,nar
202642071605,2026-07-16,5,浦和,サンタアナウインド,1,11,,2022103219,nar
202642071605,2026-07-16,5,浦和,クウレイナニ,2,1,,2020104436,nar
202642071605,2026-07-16,5,浦和,アンジェマリーナ,3,2,,2021103136,nar
202642071605,2026-07-16,5,浦和,インマイブラッド,4,10,,2022104165,nar
202642071605,2026-07-16,5,浦和,ライヴラジアン,5,4,,2022103452,nar
202642071605,2026-07-16,5,浦和,セイウンスイート,6,5,,2020100305,nar
