race_id,日付,レース,馬名,実着順,horse_id,馬番,着順1,人気1,着順2,人気2,着順3,人気3,着順4,人気4,着順5,人気5
202630071606,2026-07-16,6,トラブルメーカー,6,2024108158,7,,,,,,,,,,
202630071606,2026-07-16,6,サスラオウ,4,2024102772,8,,,,,,,,,,
202630071607,2026-07-16,7,レヴァンターセ,7,2023100107,1,7,1,除,,10,15,9,10,14,11
202630071607,2026-07-16,7,フックセンチョウ,4,2023104595,2,4,8,10,8,6,9,10,9,3,5
202630071607,2026-07-16,7,カネショウラッシュ,5,2022100307,3,4,5,5,8,7,10,7,7,11,8
202630071607,2026-07-16,7,キョウエイフレアー,6,2020104218,4,5,8,6,10,7,13,10,14,10,14
202630071607,2026-07-16,7,マルティネーテ,2,2020100373,5,3,1,4,3,2,2,3,8,8,6
202630071607,2026-07-16,7,カセノフォルス,1,2023101646,6,2,5,11,4,1,1,2,2,7,3
202630071607,2026-07-16,7,ダイヤノゴトク,3,2022105125,7,4,5,5,5,4,6,8,5,3,6
202630071608,2026-07-16,8,サンゼントカガヤク,1,2022104425,1,1,5,6,6,5,3,2,4,7,3
202630071608,2026-07-16,8,ガイストゼーゲン,2,2023101658,2,2,1,2,2,1,2,3,2,8,1
202630071608,2026-07-16,8,ユーライナー,7,2021107000,3,8,8,12,12,9,10,12,14,11,12
202630071608,2026-07-16,8,ウフフトルンナ,3,2021101193,4,7,1,1,1,1,1,1,1,1,1
202630071608,2026-07-16,8,キタサンモンドー,4,2022103672,5,1,1,3,2,1,3,6,1,3,3
202630071608,2026-07-16,8,マリノシュライエン,5,2020101416,6,11,11,10,9,6,6,8,11,12,15
202630071608,2026-07-16,8,オールスパイス,6,2022101519,7,7,6,6,8,9,9,7,8,,
202630071609,2026-07-16,9,コウユーダイダイ,4,2023100759,1,1,3,4,1,4,3,13,11,9,13
202630071609,2026-07-16,9,ゼファーバローズ,7,2020103777,2,8,5,10,12,7,8,,,6,12
202630071609,2026-07-16,9,エスカルチャ,6,2021101673,3,6,7,11,8,8,11,6,7,11,10
202630071609,2026-07-16,9,アサガオ,3,2022104290,4,5,3,7,3,3,3,2,1,1,2
202630071609,2026-07-16,9,ピエールテネシー,1,2021106228,5,3,3,2,5,2,6,4,7,8,5
202630071609,2026-07-16,9,エリオットゲーム,5,2021102248,6,3,7,10,5,6,4,2,3,5,3
202630071609,2026-07-16,9,アンエクスプロード,2,2022104571,7,4,8,12,12,9,12,12,11,12,12
202630071610,2026-07-16,10,ブッシュドノエル,11,2018105013,1,10,10,8,10,7,8,,,8,5
202630071610,2026-07-16,10,マジックライン,7,2021106966,2,5,4,4,8,5,7,,,4,11
202630071610,2026-07-16,10,ドクターストップ,8,2022105608,3,3,7,10,7,4,10,10,11,13,10
202630071610,2026-07-16,10,カムイノウタゲ,5,2022106492,4,7,8,5,9,8,8,,,7,8
202630071610,2026-07-16,10,レーザーベルン,9,2023101746,5,6,3,取,,1,2,5,2,3,3
202630071610,2026-07-16,10,レッドコート,12,2021102678,6,9,6,7,11,,,10,6,4,6
202630071610,2026-07-16,10,グレイトエイト,10,2023104208,7,1,2,3,6,8,4,13,12,,
202630071610,2026-07-16,10,マリノロマンス,3,2021101257,8,4,9,8,13,12,8,3,4,9,7
202630071610,2026-07-16,10,カネトシエテルノ,1,2022100167,9,2,3,1,2,3,5,2,5,1,2
202630071610,2026-07-16,10,ビービーエリス,2,2023100550,10,1,2,1,2,5,5,6,4,5,2
202630071610,2026-07-16,10,ヤマニンエラマ,6,2023104367,11,3,2,1,1,2,2,10,9,6,13
202630071610,2026-07-16,10,ユニコーンホエール,4,2022102517,12,8,6,4,4,5,4,6,2,4,4
202630071611,2026-07-16,11,キタノインディ,7,2018100531,1,9,9,8,9,9,10,6,8,6,9
202630071611,2026-07-16,11,ワンダーウーマン,2,2022103981,2,3,4,3,2,5,4,1,1,1,1
202630071611,2026-07-16,11,ドウドウキリシマ,4,2016105952,3,7,7,4,4,5,10,6,7,7,8
202630071611,2026-07-16,11,ピンクヴェノム,3,2021101189,4,5,6,2,6,4,4,2,3,4,3
202630071611,2026-07-16,11,モノノフブラック,5,2021106136,5,5,5,1,5,10,7,7,6,5,5
202630071611,2026-07-16,11,ラッキーホープ,1,2019104113,6,4,2,1,1,2,1,1,1,2,2
202630071611,2026-07-16,11,オメガレインボー,6,2016105537,7,6,8,6,9,5,6,7,4,13,6
202630071612,2026-07-16,12,シルバーミラージュ,,2022100824,1,2,7,1,4,1,3,6,3,2,4
202630071612,2026-07-16,12,イージーオンミー,,2020101143,2,3,1,2,3,10,13,7,5,4,5
202630071612,2026-07-16,12,ラブラブパイロ,,2019101543,3,8,8,8,3,10,12,7,8,3,2
202630071612,2026-07-16,12,ゼロアワー,,2022101521,4,2,2,5,4,8,2,1,1,1,1
202630071612,2026-07-16,12,カツノトキメキ,,2022103969,5,4,3,1,3,除,,4,5,4,1
202630071612,2026-07-16,12,スターオブフェザー,,2023100822,6,8,6,12,6,2,1,1,1,3,4
202630071612,2026-07-16,12,バレンタインケーキ,,2023101389,7,2,1,1,3,3,4,1,1,2,1
202630071612,2026-07-16,12,ニジコ,,2023104311,8,3,3,4,5,4,6,4,3,1,3
202630071612,2026-07-16,12,チャチャハツゴウ,,2022102134,9,3,4,3,5,12,6,11,1,4,6
202642071601,2026-07-16,1,プリンセスパリー,9,2021103769,1,6,9,10,10,10,11,11,9,8,8
202642071601,2026-07-16,1,ルラクソント,3,2022106795,2,3,6,8,2,2,4,6,6,5,3
202642071601,2026-07-16,1,テットドール,1,2022104966,3,1,1,16,13,4,4,13,7,2,1
202642071601,2026-07-16,1,タイムレスブルーム,7,2021103475,4,8,3,5,3,1,1,2,4,2,2
202642071601,2026-07-16,1,ピノヌイ,8,2021102321,5,9,4,8,5,4,6,3,7,10,8
202642071601,2026-07-16,1,アルファウィンザー,5,2021100432,6,4,5,5,4,8,7,7,7,5,7
202642071601,2026-07-16,1,カリプソ,4,2021100504,7,6,7,6,7,6,4,8,7,7,5
202642071601,2026-07-16,1,ハヌマーンビーチ,6,2020104981,8,7,3,取,,10,4,1,2,1,6
202642071601,2026-07-16,1,ノワスティエ,2,2022105361,9,3,5,6,7,4,6,6,3,10,8
202642071602,2026-07-16,2,ジーティーグレース,4,2023101631,1,7,1,3,1,3,2,,,,
202642071602,2026-07-16,2,ヒーローズ,9,2023101976,2,5,5,6,8,5,7,10,7,9,4
202642071602,2026-07-16,2,キングハービン,3,2023104220,3,5,7,7,3,3,8,10,12,5,7
202642071602,2026-07-16,2,シシリアンマインド,8,2023107026,4,8,4,8,4,5,2,5,1,2,1
202642071602,2026-07-16,2,エムワンワークス,7,2023104123,5,4,5,2,7,6,7,10,11,12,12
202642071602,2026-07-16,2,トゥンカロン,6,2023102746,6,2,9,10,10,11,11,9,10,8,9
202642071602,2026-07-16,2,キンパツビジン,11,2023102201,7,4,7,9,9,10,9,13,12,9,7
202642071602,2026-07-16,2,キサラフラッシュ,10,2023105707,8,8,9,5,5,4,5,8,6,5,4
202642071602,2026-07-16,2,エムティライカ,1,2023105471,9,10,1,3,1,3,1,2,2,,
202642071602,2026-07-16,2,ルミナスストーン,5,2023101980,10,7,6,8,8,6,6,2,5,6,5
202642071602,2026-07-16,2,ヤギリパール,2,2023102556,11,3,2,4,4,7,5,4,6,,
202642071603,2026-07-16,3,ユウユウキュラソー,1,2024101357,1,4,6,,,,,,,,
202642071603,2026-07-16,3,ユウユウコクトバ,4,2024103322,2,4,4,5,6,,,,,,
202642071603,2026-07-16,3,オサケノオトモニ,5,2024100051,3,6,5,,,,,,,,
202642071603,2026-07-16,3,ユウユウウタゲ,7,2024101783,4,7,7,5,5,,,,,,
202642071603,2026-07-16,3,ユウユウヒレシュ,3,2024107110,5,5,6,6,6,,,,,,
202642071603,2026-07-16,3,ダイバマアヤ,2,2024103337,6,6,3,6,4,,,,,,
202642071603,2026-07-16,3,ビナドリーム,6,2024100278,7,5,4,,,,,,,,
202642071604,2026-07-16,4,ピノモラーン,9,2018101766,1,1,6,8,9,8,7,6,6,3,7
202642071604,2026-07-16,4,ルナティックアイ,10,2022100260,2,7,10,12,12,9,11,9,10,7,11
202642071604,2026-07-16,4,レバット,3,2022104341,3,10,1,8,3,2,2,2,5,8,7
202642071604,2026-07-16,4,ファンタフェスタ,2,2021103310,4,9,6,3,6,5,6,7,9,9,6
202642071604,2026-07-16,4,エーアイキリシマ,8,2021104083,5,5,5,3,4,6,3,3,2,4,7
202642071604,2026-07-16,4,セイダンシング,7,2019103118,6,5,6,1,5,6,8,4,11,11,12
